-6800,-4800
-6400,-4800
-6000,-4800
-5600,-4800
-5200,-4800
-4800,-4800
-4400,-4800
-4000,-4800
-3600,-4800
-3200,-4800
-2800,-4800
-2400,-4800
-2000,-4800
-1600,-4800
-1200,-4800
-800,-4800
-400,-4800
0,-4800
400,-4800
800,-4800
1200,-4800
1600,-4800
2000,-4800
2400,-4800
2800,-4800
3200,-4800
3600,-4800
4000,-4800
4400,-4800
4800,-4800
5200,-4800
5600,-4800
6000,-4800
6400,-4800
6800,-4800
7200,-4400
7200,-4000
7200,-3600
7200,-3200
7200,-2800
7200,-2400
7200,-2000
7200,-1600
7200,-1200
7200,-800
7200,-400
7200,0
7200,400
7200,800
7200,1200
7200,1600
7200,2000
7200,2400
7200,2800
7200,3200
7200,3600
7200,4000
7200,4400
-6800,4800
-6400,4800
-6000,4800
-5600,4800
-5200,4800
-4800,4800
-4400,4800
-4000,4800
-3600,4800
-3200,4800
-2800,4800
-2400,4800
-2000,4800
-1600,4800
-1200,4800
-800,4800
-400,4800
0,4800
400,4800
800,4800
1200,4800
1600,4800
2000,4800
2400,4800
2800,4800
3200,4800
3600,4800
4000,4800
4400,4800
4800,4800
5200,4800
5600,4800
6000,4800
6400,4800
6800,4800
-7200,-4400
-7200,-4000
-7200,-3600
-7200,-3200
-7200,-2800
-7200,-2400
-7200,-2000
-7200,-1600
-7200,-1200
-7200,-800
-7200,-400
-7200,0
-7200,400
-7200,800
-7200,1200
-7200,1600
-7200,2000
-7200,2400
-7200,2800
-7200,3200
-7200,3600
-7200,4000
-7200,4400
